Date,Station,Survey_Type,Segment,Survey_Start_Time,Survey_End_Time,Gross_ID,Animal_ID,Family,Species,Common_Name,Habitat_Type
6/12/2025,YRS,Night,GAWA-03,8:01 PM,10:53 PM,Frog,FG339,Hylidae,Osteocephalus yasuni,Yasuni Spiny-backed Treefrog,Varzea
6/12/2025,YRS,Night,GAWA-03,8:01 PM,10:53 PM,Frog,FG340,Craugastoridae,Pristimantis spp.,Rain and Robber Frogs,Varzea
6/12/2025,YRS,Night,YCHO-02,8:01 PM,10:53 PM,Salamander,SL28,Plethodontidae,Bolitoglossa altamazonica,Amazon Climbing Salamander,Terrafirme
6/12/2025,YRS,Night,NAPO-05,8:01 PM,10:53 PM,Frog,FG341,Hylidae,Osteocephalus yasuni,Yasuni Spiny-backed Treefrog,Terrafirme
6/12/2025,YRS,Night,NAPO-05,8:01 PM,10:53 PM,Frog,FG342,Craugastoridae,Oreobates quixensis,Common Big-headed Frog,Terrafirme
6/12/2025,YRS,Night,TUCA-01,8:01 PM,10:53 PM,Frog,FG343,Hylidae,Osteocephalus yasuni,Yasuni Spiny-backed Treefrog,Terrafirme
6/12/2025,YRS,Night,TUCA-01,8:01 PM,10:53 PM,Frog,FG344,Craugastoridae,Oreobates quixensis,Common Big-headed Frog,Terrafirme
6/14/2025,YRS,Night,TINA-02,8:04 PM,10:40 PM,Frog,FG345,Hylidae,Phyllomedusa tarsius,Tarsier Leaf Frog,Varzea
6/14/2025,YRS,Night,TINA-02,8:04 PM,10:40 PM,Salamander,SL29,Plethodontidae,Bolitoglossa altamazonica,Amazon Climbing Salamander,Terrafirme
6/14/2025,YRS,Night,BOTA-03,8:04 PM,10:40 PM,Frog,FG346,Hylidae,Boana lanciformis,Basin Tree Frog,Varzea
6/15/2025,YRS,Night,TORR-01,8:34 PM,11:24 PM,Lizard,LZ70,Hoplocercidae,Enyalioides laticeps,Broad-headed Wood Lizard,Varzea
6/15/2025,YRS,Night,TORR-01,8:34 PM,11:24 PM,Salamander,SL30,Plethodontidae,Bolitoglossa altamazonica,Amazon Climbing Salamander,Terrafirme
6/15/2025,YRS,Night,FPIN-01,8:34 PM,11:24 PM,Frog,FG347,Microhylidae,Chiasmocleis bassleri,Bassler's Humming Frog,Terrafirme
6/15/2025,YRS,Night,FPIN-01,8:34 PM,11:24 PM,Salamander,SL31,Plethodontidae,Bolitoglossa altamazonica,Amazon Climbing Salamander,Varzea
6/15/2025,YRS,Night,FPIN-01,8:34 PM,11:24 PM,Frog,FG348,Hylidae,Osteocephalus taurinus,Manaus Spiny-backed Treefrog,Varzea
6/15/2025,YRS,Night,FPIN-01,8:34 PM,11:24 PM,Frog,FG349,Hylidae,Osteocephalus spp.,Broad-headed Treefrogs,Varzea
6/15/2025,YRS,Night,FPIN-01,8:34 PM,11:24 PM,Frog,FG350,Dendrobatidae,Ameerega bilinguis,Ecuador Poison Frog,Terrafirme
6/15/2025,YRS,Night,FPPE-05,8:34 PM,11:24 PM,Salamander,SL32,Plethodontidae,Bolitoglossa altamazonica,Amazon Climbing Salamander,Terrafirme
6/15/2025,YRS,Night,FPPE-05,8:34 PM,11:24 PM,Salamander,SL33,Plethodontidae,Bolitoglossa altamazonica,Amazon Climbing Salamander,Terrafirme
6/15/2025,YRS,Night,FPPE-05,8:34 PM,11:24 PM,Salamander,SL34,Plethodontidae,Bolitoglossa altamazonica,Amazon Climbing Salamander,Terrafirme
6/15/2025,YRS,Night,FPPE-05,8:34 PM,11:24 PM,Frog,FG351,Hylidae,Osteocephalus taurinus,Manaus Spiny-backed Treefrog,Varzea
6/15/2025,YRS,Night,FPPE-05,8:34 PM,11:24 PM,Lizard,LZ71,Hoplocercidae,Enyalioides laticeps,Broad-headed Wood Lizard,Varzea
6/15/2025,YRS,Night,FPPE-05,8:34 PM,11:24 PM,Frog,FG352,Hylidae,Boana geographicans,Map Treefrog,Terrafirme
6/16/2025,YRS,Afternoon,CEIB-02,2:18 PM,3:16 PM,Lizard,LZ72,Alopoglossidae,Alopoglossus atriventris,Keel-bellied Shade Lizard,Terrafirme
6/16/2025,YRS,Afternoon,RENA-01,2:18 PM,3:16 PM,Frog,FG353,Bufonidae,Rhinella margaritifera,South American Common Toad,Terrafirme
6/17/2025,YRS,Night,FPPE-04,8:17 PM,11:35 PM,Frog,FG354,Hylidae,Boana nympha,Nymph Tree Frog,Varzea
6/17/2025,YRS,Night,FPPE-05,8:17 PM,11:35 PM,Salamander,SL35,Plethodontidae,Bolitoglossa altamazonica,Amazon Climbing Salamander,Terrafirme
6/17/2025,YRS,Night,FPPE-02,8:17 PM,11:35 PM,Frog,FG355,Craugastoridae,Oreobates quixensis,Common Big-headed Frog,Terrafirme
6/17/2025,YRS,Night,FPPE-02,8:17 PM,11:35 PM,Salamander,SL36,Plethodontidae,Bolitoglossa altamazonica,Amazon Climbing Salamander,Terrafirme
6/17/2025,YRS,Night,FPPE-02,8:17 PM,11:35 PM,Salamander,SL37,Plethodontidae,Bolitoglossa altamazonica,Amazon Climbing Salamander,Terrafirme
6/17/2025,YRS,Night,FPPE-02,8:17 PM,11:35 PM,Frog,FG356,Hylidae,Osteocephalus yasuni,Yasuni Spiny-backed Treefrog,Terrafirme
6/17/2025,YRS,Night,FPPE-02,8:17 PM,11:35 PM,Frog,FG357,Hylidae,Osteocephalus yasuni,Yasuni Spiny-backed Treefrog,Terrafirme
6/17/2025,YRS,Night,FPPE-02,8:17 PM,11:35 PM,Frog,FG358,Hylidae,Osteocephalus yasuni,Yasuni Spiny-backed Treefrog,Terrafirme
6/18/2025,YRS,Night,MIRA-04,8:47 PM,10:56 PM,Salamander,SL38,Plethodontidae,Bolitoglossa altamazonica,Amazon Climbing Salamander,Terrafirme
6/18/2025,YRS,Night,MIRA-04,8:47 PM,10:56 PM,Frog,FG359,Hylidae,Boana spp.,Gladiator Treefrogs,Varzea
6/18/2025,YRS,Night,MIRA-04,8:47 PM,10:56 PM,Lizard,LZ73,Alopoglossidae,Alopoglossus atriventris,Keel-bellied Shade Lizard,Varzea
6/18/2025,YRS,Night,MIRA-04,8:47 PM,10:56 PM,Frog,FG360,Dendrobatidae,Ameerega bilinguis,Ecuador Poison Frog,Varzea
6/18/2025,YRS,Night,MIRA-04,8:47 PM,10:56 PM,Frog,FG361,Dendrobatidae,Ameerega bilinguis,Ecuador Poison Frog,Terrafirme
6/18/2025,YRS,Night,MIRA-02,8:47 PM,10:56 PM,Frog,FG362,Hylidae,Osteocephalus spp.,Broad-headed Treefrogs,Varzea
6/18/2025,YRS,Night,MIRA-02,8:47 PM,10:56 PM,Frog,FG363,Hylidae,Phyllomedusa vaillantii,White-lined Leaf Frog,Varzea
6/18/2025,YRS,Night,MIRA-02,8:47 PM,10:56 PM,Frog,FG364,Hylidae,Osteocephalus spp.,Broad-headed Treefrogs,Varzea
6/18/2025,YRS,Night,MIRA-02,8:47 PM,10:56 PM,Frog,FG365,Hylidae,Osteocephalus yasuni,Yasuni Spiny-backed Treefrog,Terrafirme
